internal_taxon_name;taxonKey
Abraxas grossulariata;1967873
Abrostola agnorista;1767622
Abrostola tripartita;1767625
Abrostola triplasia;1767597
Acherontia atropos;1861510
Acontia lucida;1763072
Acontia titania;1762952
Acontia trabealis;5772063
Acontiola lascivalis;4532881
Acontiola moldavicola;4532878
Acronicta aceris;1782763
Acronicta euphorbiae;1782727
Acronicta megacephala;1782777
Acronicta orientalis;1782781
Acronicta psi;1782948
Acronicta rumicis;1782672
Acronicta tridens;1783016
Actinotia radiosa;1792300
Adscita albanica;4522785
Adscita geryon;8403618
Adscita mannii;4522748
Adscita statices;4522753
Aedia funesta;5113847
Aedia leucomelas;5113853
Aegle agatha;1788748
Aegle kaekeritziana;9216200
Aegle semicana;9142207
Hecatera bicolorata;1789086
Hecatera cappa;1789071
Hecatera dysodea;1789076
Agriopis leucophaearia;5769062
Agrius convolvuli;1861644
Agrochola helvola;1790002
Agrochola kindermannii;1790086
Agrochola luteogrisea;1790147
Agrochola lychnidis;4533115
Agrochola rupicapra;1790001
Agrochola thurneri;1790135
Agrotis cinerea;1770869
Agrotis bigramma;4533714
Agrotis exclamationis;1771214
Agrotis fatidica;1771169
Agrotis ipsilon;1771245
Agrotis puta;1770772
Agrotis segetum;1771040
Agrotis spinifera;8007110
Agrotis catalaunensis;4533720
Agrotis trux;1770821
Alcis repandata;5143380
Aleucis orientalis;4524401
Allophyes oxyacanthae;4534719
Alsophila aceraria;5143944
Amata marjana;1808440
Amata phegea;1808450
Amephana dalmatica;1775300
Ammoconia senex;5110593
Amphipyra pyramidea;1766137
Amphipyra stix;1766142
Amphipyra tragopoginis;1766210
Anarta mendax;165775688
Angerona prunaria;1965913
Anthracia eriopoda;5113401
Anticollix sparsata;1975571
Antitype jonis;1786907
Thetidia smaragdaria;1957300
Apamea epomidion;1796139
Apamea furva;1795930
Apamea illyria;4534485
Apamea lateritia;1795854
Apamea maillardi;1795896
Apamea michielii;1795841
Apamea monoglypha;1796145
Apamea platinea;1795914
Apamea remissa;7438067
Apamea sicula;1795908
Apamea sordens;1796117
Apamea sublustris;1795946
Apamea zeta;1796032
Aplasta ononaria;5149474
Aplocera efformata;1984954
Aplocera plagiata;1984942
Aplocera praeformata;1984949
Aplocera simpliciata;1984993
Apoda limacodes;5105339
Apopestes spectrum;1779399
Aporophyla australis;1760857
Aporophyla canescens;4533255
Aporophyla nigra;1760891
Globia algae;9135821
Arctia festiva;5772009
Arctia villica;5115818
Arctornis l-nigrum;8407461
Ascotis selenaria;1980521
Aspitates gilvaria;1967273
Asthena albulata;1987744
Atethmia centrago;1759153
Athetis hospes;1787279
Atolmis rubricollis;1810099
Atypha pulmonaris;1782319
Autographa gamma;1792418
Autophila anaphanes;165431310
Autophila banghaasi;1777333
Autophila dilucida;1777289
Autophila ligaminosa;1777344
Axylia putris;1761438
Bembecia albanensis;1940821
Bembecia ichneumoniformis;1940838
Bembecia megillaeformis;4525821
Bembecia pavicevici;4525823
Bena bicolorana;1801051
Biston betularia;1975897
Brachodes flavescens;4525681
Brachylomia viminalis;1779690
Brithys crini;1789957
Bryophila rectilinea;8831094
Bryophila tephrocharis;9069966
Bryopsis amasina;4532809
Bupalus piniaria;1973414
Cabera exanthemata;5143675
Cabera pusaria;5143697
Calamia tridens;5110200
Callimorpha dominula;4532534
Euclidia mi;4532493
Calliteara pudibunda;1819145
Callopistria juventina;5108761
Calocucullia celsiae;1764209
Calophasia lunula;1796463
Calophasia opalina;1796423
Calophasia platyptera;1796451
Calymma communimacula;1761392
Calyptra thalictri;1777631
Gerinia honoraria;8180900
Campaea margaritaria;1978776
Camptogramma bilineata;4524376
Caradrina draudti;1764935
Caradrina suscianja;4534260
Caradrina wullschlegeli;4534261
Carsia lythoxylata;4524184
Casilda antophilaria;4523463
Cataclysme riguata;1977967
Catarhoe putridaria;1964225
Catarhoe rubidata;1964191
Catephia alchymista;1788635
Catocala coniuncta;1797527
Catocala conversa;1797349
Catocala disjuncta;4532468
Catocala diversa;4532459
Catocala elocata;1797276
Catocala eutychea;4532461
Catocala lupina;1797303
Catocala nupta;1797258
Catocala nymphaea;4532473
Catocala nymphagoga;1797333
Catocala puerpera;1797454
Helotropha leucostigma;4534389
Celonoptera mirificaria;4523970
Cerapteryx graminis;1763610
Cerastis rubricosa;5110885
Cerura vinula;1825156
Chamaesphecia aerifrons;1941330
Chamaesphecia alysoniformis;1941444
Chamaesphecia annellata;1941420
Chamaesphecia chalciformis;1941446
Chamaesphecia doleriformis;1941345
Chamaesphecia empiformis;1941437
Chamaesphecia masariformis;1941399
Chamaesphecia proximata;1941417
Chamaesphecia schmidtiiformis;1941386
Chamaesphecia tenthrediniformis;1941377
Charanyca trigrammica;1778074
Charissa graecaria;11592669
Charissa glaucinaria;4524914
Charissa obscurata;4524951
Charissa onustaria;4524962
Charissa pentheri;4524932
Charissa pullata;4524971
Charissa supinaria;4524934
Charissa variegata;4524922
Chelis maculosa;4532565
Chersotis cuprea;1766741
Chersotis fimbriola;1766784
Chersotis laeta;1766828
Chersotis multangula;1766814
Chiasmia clathrata;4525078
Chilodes maritima;1778596
Chloantha hyperici;5772309
Chlorissa cloraria;1961037
Phaiogramma etruscaria;4523516
Chlorissa viridata;1961040
Chloroclysta siterata;1963446
Denticucullus pygmina;4534408
Chrysodeixis chalcites;1785185
Cidaria fulvata;5768880
Cilix asiatica;1951562
Cilix glaucata;1951557
Cleora cinctaria;5769028
Cleorodes lichenaria;1985522
Cleta filacearia;7990739
Clytie syriaca;165789461
Colocasia coryli;5114198
Colostygia aptata;8388883
Colostygia aqueata;7555991
Pseudobaptria bogumilaria;1964931
Colostygia fitzi;1988538
Colostygia pectinataria;1988593
Colotois pennaria;1968867
Condica viscosa;4532700
Conistra erythrocephala;1768815
Teinoptera olivina;4532775
Cornutiplusia circumflexa;1784349
Coscinia cribraria;5117189
Cosmia confinis;1769514
